,artista,id_artista,genero,tipo,nombre,anio_lanzamiento,id
116,Raimonds Pauls,01pSsqt7FLdq2SC6UqjER3,pop,track,Miesassargu Dziesma,2000,3KCyHctEpjTX61tR10PnqS
117,Teresa Teng,3ienC90A5I1X3irDyQoqWZ,pop,track,採紅菱,2000,7dgHdt6xYOliJ4dBj9WPMz
118,Bozo Vorotovic,3zYERb3VrpDdJJmuCkdQDx,pop,track,Hajde opet prevari me,2000,0nupVA6VXMkPRocy39h0mc
119,Raimonds Pauls,01pSsqt7FLdq2SC6UqjER3,pop,track,Bad Bad Boys,2000,6GJHFRr6fclmVofuIk9JnS
120,Ruriko Kuboh,4PpeG1Lnx1kkiekDoPv6eu,pop,track,if,2000,27ZCqxVImvf4Usd27gjdXa
121,Suresh Wadkar,0w4e7HVbqAHFPN6VkIlvhe,pop,track,Hari Ala,2000,0ddkQeCnRPFSpaGEE7tfPq
122,Vaishali Samant,2zGP2SUtwsDhdyYzf0kKp8,pop,track,"Devi Vajaai Devi, Dham Dham Nagara, Devichya Darshnala , Gabhanyat Murti ..Karuya Saare Jaijaikaar, Aai Majhi Bhaktanchi Kaivari",2000,3CfawuQ0pwo1iQPD5FGOc8
123,Guddu Rangila,1TUAuN17xq18iOslmb6yD0,pop,track,Gori Ke Dekh Ke,2000,0vlbwtVPkpU96P6GJuFp4q
124,Vũ Khanh,1sYy5ycHmf5ivjjgOIjbgq,pop,track,Sang Ngang,2000,0lxR61ilxsYDwtSQ86ikbR
125,Gopal Rai,2GDtXTrKDFzZYFooMvlNL7,pop,track,Ek The Babua Hoite,2000,3McCluQh97ubr9mp7IBtK8
126,Earl Bostic,3uPH2E6G8gBlatMzfQR4lL,pop,track,When Your Lover Has Gone,2000,1igF3egBHxStCYnLFvw3yE
127,Miguel E André,6soz9JAvN6l9axLed9IWQH,pop,track,Quando o Amor Chama,2000,3DyOVXcXZ6VEPVAG7wqMdB
128,Dunai,2F8XdPxObNV8OxKB8Xujn0,pop,track,Leleky,2000,7adIhI5guepdXSi7o0XfB0
129,Lecia & Lucienne,6oNQgXY4XqkR8gp2Ktbwfj,pop,track,Waiting on the Corner,2000,2NAmFXndkMLAeDarX1Xaov
130,Daklon,0bTYoIetJJchsvROUsC3TD,pop,track,סבא ישראל,2000,2ilgXrPkjiuAmwuorSDrud
131,Sandhya Mukherjee,43HtIGYO7tBOdUD7Fh77Y5,pop,track,Aaj Keno O Chokhe Laj Keno,2000,06fiQgu4NMv8NcoI3RUh4r
132,George Jones,2OpqcUtj10HHvGG6h9VYC5,pop,track,We'll Understand It,2000,6rwMzKkqqeytNb9qL3AcGd
133,Shorty Rogers,7hxJ7osu5ELi0SVSvgUjQN,pop,track,Trickleydidlier,2000,5Bjuf9wljFZ2K8cQfcdusu
134,Bonet de San Pedro,4PBS2xOfvkn5HOHXreiZOT,pop,track,Quiero Volver a Mi Virginia (Carry Me Back to Old Virginia) [Foxtrot],2000,2IXrlg9ufk9OcnhhP5r1JU
135,Stratos Dionisiou,0xVhbm22AMG0DhCE2MUQBP,pop,track,Na Kanis Metamoshefsi,2000,3l9GZhDsrg1CTbuYc1tP61
136,Yến Khoa,3bha5CwoQMcHglJ5xFRPKj,pop,track,Đàn Thương Ô Quán Trong Làng,2000,4asJgmxfT1w4sSlJwdQ42O
137,Earl Bostic,3uPH2E6G8gBlatMzfQR4lL,pop,track,Memories,2000,6APHep9wvELKbrEP5RR0LC
138,Milt Buckner,6R8OZtD9TL5Wki7Shzm8fb,pop,track,Let Me Love You,2000,0R77LHwHVtOs7YMwzUJYd4
139,Zahouania,13sLlXcYUQJPSPMYIqa6wv,pop,track,Ktelni B'alo Alo,2000,4WpuGPhMKlMAvzrYrxubup
140,Віктор Павлік,3tgeIf8gtvjH6Hjr7FxgZ0,pop,track,Белым,2000,1NVIMlGJnIf0PDnWp0qWu9
141,Nino,3o2DL5tnLD7jaRwbXWG3Ny,pop,track,Tvoje oko kao mastilo Instrumental,2000,0JqHRB7tCcucU6SxetYv0n
142,Youmni Rabii,5ft8eSmAtVQhX1B7LnCYCn,pop,track,Super,2000,5Yo3JsXTvcZZXheM94yWw3
143,Afroditi Manou,07OxvqfNqY6diXsGeVWVkA,pop,track,Hameni Zoi,2000,7zQENXeuaOVZqQCfLETXNG
144,Evert Taube,3fUWKywZQbkzjqydZH15fT,pop,track,Här är den sköna sommaren,2000,7xHzsJOleQHIbxoYSWXFCu
145,Thanh Thúy,6oO3gusjsenDOQn8RDr5JS,pop,track,Đêm giã từ,2000,5cKnhXuxbMz8eU9DIm7jzc
146,Phương Hồng Quế,2d1ZChw4TkNWrJx6iPleap,pop,track,Các anh về,2000,3vtG9I79CJAlIWOtJXInyJ
147,Ira Ironstrings,6uthTnvJoeo8P2p3blrKLr,pop,track,Five Foot Two - Eyes Of Blue,2000,0TGBL0BZKPAyhSJVUWlBMd
148,Владимир Высоцкий,6hKLYGlOtGVNzZUuvS99Nw,pop,track,Романс при свечах,2000,1FhRNW232JN2GXofRD31cI
149,Alma Cogan,0oGo1uX2IixGBLb3fsiVnK,pop,track,Why do Fools Fall in Love,2000,5cHOlxKZEDhCOOdUTs8wz5
150,Julie,3mriKMwKtRDiSx9522Jpr2,pop,track,Đừng bỏ em một mình,2000,1IznpWSnFZJirnjyQliAVJ
151,Vishnu,3C6fEluNfcYDBAy6nBQpdS,pop,track,Banada Hunnime,2000,3fWOB5LyTEf1FJvRN4AjzH
152,Bobby Charles,1B8vzl6kObOf1cxN4myLS1,pop,track,You Can Suit Yourself,2000,5y1AhYEEYRYzcCp4y5wRvk
153,Nana Mali,1Vq3nq7wkns2GTZPyCVHp7,pop,track,Bhoya Mahadev Lakh Lakh Kara Ya,2000,5xsU8cHAIrbCzsddtWhBP1
154,Castellina-Pasi,6IcPcdjgmGuPv8RLdST873,pop,track,Casetta Del Mio Paese - Ritmo Allegro,2000,2LGImFRBucAJcJkR4K0DyB
155,Sekhar Ghosh,7jzR0j2egxzk2b7DUmk6Eg,pop,track,Mo Gulgulia Kalia,2000,7fUSBwqS6MvuPjhqpVXF3z
156,Dræsinebanden,4fTh9EInN2pJzHGTVy62w6,pop,track,Brevet til mor og far,2000,1cZVZcdAxUMa6whwEZHvfz
157,Lasse & Mathilde,0bCaPLCdETI3JVR70PN6nE,pop,track,Livets Træ,2000,0QNnUl7zFUgvbeKd8I678m
158,Naval Mali,1CBGLKBWxPWzslzBnBQIwX,pop,track,Panila Javu Kashi Yekali Rama,2000,2ncAnuOXSOLAWOwYBZJn7e
159,Sơn Tuyền,0RoUGjbZ9d63jXyUylDs1Q,pop,track,Liên khúc Dân Ca Ba Miền,2000,4arY7Br6p68ZvqJqfDY9oK
160,Abdujalil Qo'qonov,6xmcZO5lHuKQWbIXU5HJDY,pop,track,Onam suygan osh,2000,6htLGTuKXt2TbF48rLaHu3
161,Bằng Kiều,0KWdVd7ZYhtlm0CLHIFBya,pop,track,Còn Mãi Nhớ Thương,2000,3EoNT2FYa9emkV5vGionih
162,KC De Leon Guerrero,6hQgNLXnXaGKKzHIZhhQgK,pop,track,Pretty Baby,2000,3R6YTVI0HYVkswbbl3lIHR
163,Hedi Habbouba,3KFe4wo1ECxY60hnhUPRmN,pop,track,يا نجمة في السماء تلالي,2000,0NvfnSUrk0j5zjQFAzgoLi
164,Tolis Voskopoulos,1mZFVxRgAeVl9xKES2z0vp,pop,track,Tha Kopso Gia Sena Ti Nihta Sta Dio,2000,34nEJ9V0BdYkwAz47iIsPj
165,Kai Winding,1kYYk4lJ7ZWbyy3zDYOl6h,pop,track,Thou Swell,2000,4i4dtyPQjedVeNWw9lTIcj
166,Irena Starošaitė,5B2hH3V1pS9HVy5Ixw2QpT,pop,track,Šviesa lange,2000,5W63axlUsfJUgICU5vEJR9
167,Dạ Nhật Yến,7kTp315U9K143dPGulbKn8,pop,track,Yeu Tham,2000,1GAuzPUQRt7xruUZcQ15G8
168,Jo Basile,2LxI77Fuian6GUihQuhFfo,pop,track,Kalinka,2000,7jjEHxbaWIwaBSGkDMykOe
169,Владимир Высоцкий,6hKLYGlOtGVNzZUuvS99Nw,pop,track,Романс миссис Ребус,2000,6GHNQ0oKKUhjAJ1sPHHMg1
170,Abdelaziz Stati,43TeJ7uEQzDLp3hXmzY2X1,pop,track,Aatni el visa,2000,4GIFXbhXIc4XQYXuie8qoT
