,Artist,Biography,Listeners,Playcount,Similar
511,Djavoli,"""Djavoli"" (The Devils) was pop/rock band from Split, formed in 1985. They were playing music from 60’s with strong influence of their Mediterranean background. 
Line-Up:
Neno Belan – Guitar,Main Vocal
Igor Kmetić – Saxophone
Dean Radovniković - Drums
Dragiša Mandić – Bas
Zlatko Volarević – Keyboards

Discography:
Ljubav i moda (Jugoton 1986)
Hallo Lulu 22 ( Jugoton 1987)
Ostani uz mene(Jugoton 1988)
Balade – Kada se nadjem u predjelu noći (Jugoton 1989)
Space Twist (Dallas Records 1998)
 <a href=""https://www.last.fm/music/Djavoli"">Read more on Last.fm</a>",12142,186282,"('Jura Stublić & Film', 'Srebrna Krila', 'Vještice', 'Metak', 'Animatori')"
512,The Story Of,"The Story Of is the musical collaboration between five friends - raised and cultured in the midwest, banded together in Athens, OH, and currently residing in the sunshine of Austin, TX.  <a href=""https://www.last.fm/music/The+Story+Of"">Read more on Last.fm</a>",13223,43708,"('The Steeples', 'The Flying Tourbillon Orchestra', 'The Getaway Team', 'Hillary & The Democrats', 'Bumtech')"
513,pornograffitti," <a href=""https://www.last.fm/music/+noredirect/pornograffitti"">Read more on Last.fm</a>",195679,2358330,()
514,Die Form,"Die Form is a post-industrial and electronic band formed in 1977 from France. The name 'Die Form' means '(the) form/shape' in German, like the Bauhaus diary and is a play on the English homonym 'deformed' and on the French homonym 'difforme' (deformed). Their most recent output is the album ""Baroque Equinox"" (2017). 

Die Form's songs are erotic and death-obsessed. They have been able to impose years after years a music and an image of the most completed <a href=""https://www.last.fm/music/Die+Form"">Read more on Last.fm</a>",107059,2223037,"('The Klinik', 'Kirlian Camera', 'Attrition', 'Leæther Strip', 'Das Ich')"
515,Manfred Krug,"Manfred Krug (February 8, 1937 – October 21, 2016) was a German actor, singer and author.

Krug was born in Duisburg in 1937. After moving to East Germany at the age of 13, Krug worked at a steel plant before beginning his acting career on the stage and, ultimately, in film. By the end of the 1950s he had several film roles, and in 1960 he appeared in Frank Beyer's successful war movie Fünf Patronenhülsen (Five Cartridges). Many more film roles followed, with Krug often cast as a socialist hero. <a href=""https://www.last.fm/music/Manfred+Krug"">Read more on Last.fm</a>",27400,258446,"('Tocotronic', 'Blumfeld', 'Helge Schneider', 'Die Sterne', 'Puhdys')"
516,Omega,"The are multiple artists called Omega:
1. A Hungarian progressive and hard rock band
2. An alias of techno musician Naoki
3. A Lithuanian pop group
4. An American rapper
5. A dubstep artist
6. A British metal band
7. A Greek black/thrash/speed metal band
8. A Dominican mambo singer
9. A Chilean rapper
10. An Italian black/avantgarde/ambient metal band
11. A Beat rock ensemble from Estonia

1. Omega is one of the most successful Hungarian rock bands. <a href=""https://www.last.fm/music/Omega"">Read more on Last.fm</a>",294994,3184872,"('Ken Hensley', 'Uriah Heep', 'Barclay James Harvest', ""Manfred Mann's Earth Band"", 'Smokie')"
517,M.ill.ion,"M.ill.ion is a Swedish melodic heavy metal/rock band formed in Gothenburg in 1989. Bassist BJ ""Berra"" Laneby founded the band, which achieved great success internationally with several top list placements. They have toured with acts such as the Michael Schenker Group, Magnum, Nazareth and the original members of Saxon, as well as on their own. Sweden Rock Festival, Firefest (England), Rock Over Munich (Germany) and Hard Rock Hell Roadtrip (Spain) are just some of the festivals M. <a href=""https://www.last.fm/music/M.ill.ion"">Read more on Last.fm</a>",1822,31275,"('Million', 'Michael Bormann', 'Soul Doctor', 'Adriangale', 'Miss Behaviour')"
518,Metamorphosis,"Metamorphosis refers to at least four bands: A Peruvian hardcore/punk group, a Czech-Austrian avant-garde punk act, an early 80s electronic/proto-ebm project and a swiss ProgRock Band.

Metamorphosis (1) is a defunct post-hardcore/punk band formed in Lima, Peru. The band consisted of vocalist Garzo, bassist Paul, guitarist Renzo, drummer Alex, and guitarist Gonzalo. The bands roots reach back in 1996, when they began writing and performing around Lima, having good acceptance in the underground scene of this city. <a href=""https://www.last.fm/music/Metamorphosis"">Read more on Last.fm</a>",10756,137994,"('Raised By Zebras', 'Carptree', 'Satellite', 'Steve Thorne', 'Moongarden')"
519,Monna Bell,"Monna Bell (January 23, 1938 – April 22, 2008), whose birthname was Nora Escobar, was a Chilean singer who enjoyed a successful career in Spain, Mexico and other parts of Latin America. She was reportedly one of Juan Gabriel's muses. Bell was born in Santiago, Chile, in 1938.  She moved to Mexico in the 1970s after launching a successful career in Spain.

Spanish film director Pedro Almodóvar used one of Bell's songs, Estaba Escrito, in his 1980 film ""Pepi, Luci, Bom y Otras Chicas del Montón"" (Pepi, Luci, Bom and Other Girls on the Heap). <a href=""https://www.last.fm/music/Monna+Bell"">Read more on Last.fm</a>",12111,49114,"('Los Mismos', 'Mariana Montalvo', 'Orquesta Huambaly', 'Isabel Parra', 'Mariel Mariel')"
520,Gogz," <a href=""https://www.last.fm/music/Gogz"">Read more on Last.fm</a>",225,1103,"('Sibrydion', 'Big Leaves', 'Gwibdaith Hen Fran', 'Radio Luxembourg', 'Geraint Jarman')"
